,gender,faculty,Enter Your Location,kind of books preffered for study,How Frequently do you visit library,For what Purposes do yo visit library,Average Time spent in collage,What is general Purposes,Which one is your Prefered location ,What is your preferred time?,Preferred language for Learning,Preferred type for reading,Do you enjoy the Reading,Which mode of learning /,Dose Covid Pandemic Ch,How do you study before collage,How do you study after Collage,Do you aware about Nati,Do you Using National di,Dose Covid 19 Pandemic Affected Your Reading Habits,Do you purchase Books from store,Average Expenditure on books,Occupation Of Father,Parents Education,Select your Faculty,Enter your Location,Preferred Language for Learning,Do you Using National dig,Occupation of Father,number of books purchased,Time to read a book
0,Female,Arts,Urban,Text Books,Once in a week,For Reading Novels and,s 2-4 hours,To while away time,Home,Afternoon,other,Stories and novels,Enjoyable,Hard copy of Reading ma,Yes,Reading soft copy of boo k,Reading soft copy of boo k,Yes,Yes,No - Not Affected,Yes,Less Than Rs. 500,Farmer,Educated,Science,Rural,English,No,Farmer,79,21
1,Female,Commerce,Urban,Lecture Videos,Once in a month,For Reading Novels and,s Less than an hour,To pass the examination,Class Room,Morning,Marathi,Magazines,Enjoyable,Hard copy of Reading ma,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,Yes,Yes - Positively Affected,Yes,Rs. 500 to Rs. 2000,Job,Educated,Science,Rural,English,No,Farmer,94,8
2,Female,Science,Rural,Reference Books,Rarely,For Reading Novels and,s Less than an hour,To get the knowledge and,Home,Evening,English,Others,Enjoyable,Academic Videos,Yes,Reading books in library a,Reading soft copy of boo k,Yes,No,No - Not Affected,No,Less Than Rs. 500,Business,Educated,Science,Rural,English,No,Farmer,47,36
3,Male,other,Urban,Text Books,Once in a week,For Reading Novels and,s Less than an hour,To get the knowledge and,Central Library,Morning,Marathi,Text books,Very much,Hard copy of Reading ma,No,Reading books in library a,Reading soft copy of boo k,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Business,Educated,Science,Rural,English,No,Farmer,21,5
4,Male,Science,Rural,Lecture Videos,2-3 times in a week,To Complete Assignment,Less than an hour,To get the knowledge and,Home,Morning,English,Reference books,Enjoyable,Academic Videos,Yes,Watching Lecture Videos,Watching Lecture Videos,No,Yes,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer,99,9
5,Male,Science,Urban,Lecture Videos,Once in a week,For Reading Novels and,s Less than an hour,To get the knowledge and,Park or Garden,Evening,English,Reference books,Enjoyable,Hard copy of Reading ma,Yes,Watching Lecture Videos,Watching Lecture Videos,Yes,No,Yes - Positively Affected,No,Above Rs. 2000,Business,Un-Educated,Science,Rural,English,No,Farmer,43,29
6,Female,Science,Urban,Class Notes,2-3 times in a week,For Reading Novels and,2-4 hours,To be well informed,Home,Late Night,Marathi,Stories and novels,Very much,Hard copy of Reading ma,Yes,Reading books in library a,Reading books in library a,Yes,Yes,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Business,Educated,Science,Rural,English,No,Farmer,13,48
7,Female,Science,Urban,Lecture Videos,Once in a week,For Reading Novels and,s 2-4 hours,To get the knowledge and,Central Library,Late Night,English,Stories and novels,Enjoyable,Academic Videos,Yes,Reading books in library a,Watching Lecture Videos,No,No,Yes- Negatively Affected,Yes,Less Than Rs. 500,Job,Educated,Science,Rural,English,No,Farmer,25,1
8,Female,Science,Urban,Reference Books,2-3 times in a week,For Reading Novels and,s 2-4 hours,To get the knowledge and,Central Library,Late Night,English,New paper,Very much,Hard copy of Reading ma,Yes,Reading books in library a,Reading soft copy of boo k,No,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer,14,6
9,Female,Science,Rural,Class Notes,2-3 times in a week,For Reading Novels and,2-4 hours,To get the knowledge and,Home,Late Night,English,Competitive books,Enjoyable,Academic Videos,No,Watching Lecture Videos,Watching Lecture Videos,Yes,No,No - Not Affected,Yes,Rs. 500 to Rs. 2000,Farmer,Educated,Science,Rural,English,No,Farmer,60,13
